# first 1000 are full spectra, next 1000 have random lines missing, next 1000 is just noise
1.676474456182336592e+00 3.366993576271492650e+00 1.103700494301795398e+00 2.320022702395410530e+00 4.563076908498467255e+00 6.967035142328559694e+00 1.475772227141702198e+00 1.033381574918914803e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.177338972176598109e+00 5.223149031658298469e+00 1.712148252577590402e+00 2.077575606217782145e+00 3.204515438695150209e+00 6.238965784437783491e+00 2.204874849582890484e+00 1.543921888931370834e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
6.044126401057990927e-01 5.292085248971011069e+00 1.734745544612697143e+00 1.083630992861043918e+00 1.645107893592267390e+00 3.254147125708840349e+00 2.257184521442776592e+00 1.580550746756373304e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.938756758951147185e-01 3.569989727525206380e+00 1.170242632682762629e+00 9.974492520139477403e-01 2.705159705756980948e+00 2.995343099140984400e+00 6.229590721511749640e-01 4.362153015553357771e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.240130257069556485e+00 9.757534387669640097e+00 3.198519772278107798e+00 3.291716866570482125e+00 8.819080721474023221e+00 9.885035635346792304e+00 5.144086271374973762e+00 3.602049066154312751e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.557496343755349510e+00 3.612478837611055038e+00 1.184170562968903884e+00 1.296093576204130127e+00 4.239238823503944431e+00 3.892172901513903494e+00 1.174498445953759518e+00 8.224203108702189402e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.614889257324972238e+00 8.171009512512565465e+00 2.678456918201619352e+00 3.675050448780067480e+00 7.117281593154524799e+00 1.103618753387407558e+01 5.477980606285646203e+00 3.835852255644315534e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
7.546428610960796979e-01 2.312669000691792043e+00 7.580928984267693016e-01 1.387962263211649949e+00 2.054008876146107276e+00 4.168054844479429200e+00 2.104869846893642205e+00 1.473895278267377762e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.611482394089170267e+00 1.212518579992853240e+01 3.974635905216572063e+00 4.950864477055446855e+00 9.829837762899211739e+00 1.486746089205839816e+01 5.604083686297228084e+00 3.924153551079915925e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.486872552702366956e+00 5.386119003637966252e+00 1.765569809392525169e+00 2.166701154834676846e+00 4.047012936043459241e+00 6.506610074578608405e+00 3.098848914279668687e+00 2.169910310398199815e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.745837956981620920e+00 1.316845317651293712e+01 4.316618951260940307e+00 4.017505882211799495e+00 7.473701570445347997e+00 1.206458222886426235e+01 4.727881138472366906e+00 3.310609297998996503e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.330173762384363023e+00 1.065212194133732915e+01 3.491765572370375992e+00 3.956682617041726413e+00 9.064163751726628249e+00 1.188192978090608598e+01 6.251161287206675965e+00 4.377257395985348687e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.381080487780725896e+00 4.832565282698377374e+00 1.584114899668528142e+00 2.450391716024030941e+00 6.480894087590435504e+00 7.358533681753845812e+00 3.725431676875142983e+00 2.608663032613362631e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.169948442359032947e+00 4.103341564847175604e+00 1.345075364956904274e+00 1.537504324320986937e+00 3.184399679801396044e+00 4.617130103066026336e+00 1.776490547271546205e+00 1.243953887873080477e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.313703410168228558e+00 1.205568105041269789e+01 3.951852248325282257e+00 5.129090233449985270e+00 1.174116333742032836e+01 1.540267337372367784e+01 4.795596637560009867e+00 3.358025794804292641e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
