# first 1000 are full spectra, next 1000 have random lines missing, next 1000 is just noise
1.135153293145583886e+00 2.365775242501780085e+01 7.411973834758077473e+00 2.699554611477064103e-01 5.990254845095429381e+00 7.842982601618431193e-01 4.483545385012007722e-01 1.031174191585098265e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.638424593478805535e+00 3.618707296679830421e+01 1.133740996049790972e+01 1.953054029772971549e-09 8.646040071128259896e+00 5.674183700676849516e-09 5.250791813493475013e-01 1.207633811751029018e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
6.357903589858195925e-01 1.559979388333308670e+01 4.887415423648255874e+00 2.483156582725645212e-01 3.355094242669232951e+00 7.214284086942607255e-01 3.330835994841408169e-10 7.660616363480698758e-10 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.783015572805539461e-01 4.652083966629271927e+00 1.457497906744950722e+00 1.686734027287517512e-07 1.468609800952791034e+00 4.900447493572101864e-07 1.389425627625229396e-08 3.195551121493167689e-08 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.082889185254130471e+00 3.388301932695947727e+01 1.061554995513640520e+01 4.255620152652236921e-01 5.714454803451876508e+00 1.236380055971016079e+00 7.134991746841604643e-01 1.640982462475070180e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.590445956432214647e+00 4.211203208973371659e+01 1.319369965371357445e+01 3.316927459800372846e-01 8.392854651357334106e+00 9.636628296921478931e-01 6.635415381359482945e-01 1.526084494332907493e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.305908895817925242e+00 3.243286810070117099e+01 1.016121757594967789e+01 2.494135123247568642e-01 6.891339819619657803e+00 7.246179904844766151e-01 3.889212143278237277e-01 8.944830136334491755e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.631502219218856187e+00 4.754602477171100361e+01 1.489616956097705724e+01 5.660048628428772099e-01 8.609510391656232997e+00 1.644406922843919761e+00 4.100905219596652773e-01 9.431704736882826623e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.312621921347300269e+00 3.510356022313801105e+01 1.099794541790913982e+01 7.774033920590499580e-01 6.926764756450133120e+00 2.258580453396425991e+00 7.009002019983104903e-01 1.612005984356739585e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.747494175571290942e-01 1.766777557126045295e+01 5.535314086475899842e+00 3.674477237874855251e-01 4.616091913230232713e+00 1.067541324193740593e+00 1.526017380924420686e-01 3.509699588142641824e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
