# first 1000 are full spectra, next 1000 have random lines missing, next 1000 is just noise
2.100112014740023181e+00 1.791694501080519686e+01 6.258388892274255433e+00 4.324788810417531160e+00 7.369170325926790888e+00 1.293684956750682247e+01 4.183417000752144510e+00 2.758236302994754752e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.506350112140974362e-01 5.229796959558457914e+00 1.826768077973769611e+00 1.060873935393470635e+00 3.584474918645092600e+00 3.173418891395365815e+00 1.024709948797182912e+00 6.756180845237574895e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.437561084137815692e+00 1.192836450430901252e+01 4.166577721355137598e+00 2.549843553078518621e+00 5.048178305900226093e+00 7.627411166851686630e+00 2.312189142580399981e+00 1.524486808584690767e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.242923185921143592e+00 1.860161313784679749e+01 6.497543469049885445e+00 4.619903761749302618e+00 8.135407004835041533e+00 1.381963434564553594e+01 3.957347047595859202e+00 2.609182466932062461e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.165483275544375363e+00 8.968487714259051558e+00 3.132692758590686744e+00 2.338031751211292253e+00 4.341305896504138673e+00 6.993813195367311941e+00 2.714446510170528182e+00 1.789705617571390572e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.242179993279323380e-01 7.288083973882518940e+00 2.545727732077163630e+00 1.573704097036949578e+00 2.769231492722240784e+00 4.707460655210737421e+00 1.850473486268615630e+00 1.220065593900320211e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.105907023072097317e+00 1.692742792422757603e+01 5.912750573932692433e+00 4.158928625533441448e+00 7.536056649620007875e+00 1.244070782391098184e+01 3.872570583172607606e+00 2.553287125451709549e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
6.912749148279951905e-01 9.699361143566452625e+00 3.387986847447761907e+00 2.354163465945641409e+00 2.441909297427083736e+00 7.042068399478436547e+00 2.374539292188749151e+00 1.565595893841068786e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.318420506712279838e+00 1.878234775159569736e+01 6.560674069632376870e+00 4.462349127597265763e+00 8.138775745930976413e+00 1.334833720489759479e+01 6.352348595227343964e+00 4.188269661256243559e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.888381816592317408e+00 1.881718210725193785e+01 6.572841710063102028e+00 4.466320720993595117e+00 6.915389369634839412e+00 1.336021753213758601e+01 4.088086182930753765e+00 2.695382200125769678e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.310932910577785160e+00 8.081599884161713376e+00 2.822902839537686503e+00 1.778629545404097456e+00 5.076020825371110767e+00 5.320459304230025666e+00 2.150867969231938570e+00 1.418123537437818049e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.807720743983949108e+00 1.765473574983577976e+01 6.166799197417637934e+00 3.800014842419424888e+00 6.414760985136764404e+00 1.136707999527198609e+01 3.505441988451583946e+00 2.311229635690369655e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
