# first 1000 are full spectra, next 1000 have random lines missing, next 1000 is just noise
2.194096955157697426e+00 2.676278372487032708e+00 9.219778993217827567e-01 1.299821025151435050e+00 7.695885496870211284e+00 3.818510649681067015e+00 1.835825291748119481e+00 1.170359104773759595e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.197466201582530587e-01 1.152042128249597397e-06 3.968785131819862960e-07 6.902634361528594553e-01 2.875295054921967797e+00 2.027800928768682454e+00 6.781918033071931369e-08 4.323548408180499791e-08 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
7.779506697804248638e+00 4.353071966117267877e+00 1.499633292327398504e+00 6.685554509999746535e-13 2.728694036409767776e+01 1.964028939482887088e-12 2.148987930976693495e+00 1.370003781063810600e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.306391611687065302e+00 1.455352973617776158e+00 5.013690994113237931e-01 5.134647496199835626e-01 4.582222419105805855e+00 1.508415833196191214e+00 3.782643334334733941e-07 2.411477326491606944e-07 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.009193611398753188e+00 1.495531871689024239e+00 5.152107297968688826e-01 8.145928461805007625e-01 7.047329398101554787e+00 2.393045964102528789e+00 7.641384475187038561e-01 4.871467853619175226e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.337703206280423496e+00 1.392835794815811656e+00 4.798319313140469999e-01 1.015872358456348934e-09 4.692049127605834258e+00 2.984348879131459853e-09 3.738562230606704340e+00 2.383375131076567843e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.397593084998557833e-01 1.066879459730879720e+00 3.675399738772880953e-01 9.335459165535022752e-01 3.296244505436182859e+00 2.742496817137198395e+00 5.832022722147022759e-07 3.717979550010852351e-07 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.874903020554640865e+00 1.712641321655813120e-01 5.900049353104276639e-02 1.504286831365681421e+00 6.576299616115891311e+00 4.419174005187079146e+00 2.675013102376010643e+00 1.705350696401894073e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.762960094380925824e+00 2.704033388499948565e+00 9.315395023382320172e-01 5.559888526761675998e+00 6.183655188989567009e+00 1.633339755217883749e+01 4.637951711572441568e-12 2.956745959181716898e-12 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.102175513492085090e-01 3.964701482894738903e-07 1.365839660857237673e-07 3.526416101351514977e-12 1.438854967903221649e+00 1.035962426954029037e-11 1.435355354947704054e+00 9.150550522425755506e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.280111447552022996e-01 2.950657742584184007e-07 1.016501592320251227e-07 3.593280986635827845e-01 1.501266730112950754e+00 1.055605460233791870e+00 7.638200738568912614e-14 4.869438186005936839e-14 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.063715385630803034e+00 1.179148593248304788e+00 4.062166903740409007e-01 7.461620017001656668e-01 7.238566768259568462e+00 2.192015281140322180e+00 9.383817173479365170e-01 5.982288138135511968e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.989599781812766421e+00 1.194532141464480779e-01 4.115163227345135233e-02 8.516400285058324249e-01 6.978603233296269082e+00 2.501880224752739412e+00 9.265053623529109217e-01 5.906575050063183063e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.229340567903183024e+00 1.937640306195792750e+00 6.675170854844505453e-01 6.651189203766298963e-01 4.311962707482226875e+00 1.953933373609371360e+00 1.231863739899897281e+00 7.853268774065391700e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.162996555413761790e+00 1.021964086866944441e-06 3.520666279256623231e-07 1.294703003347907666e+00 1.109434077661789431e+01 3.803475332984452617e+00 1.605173772810046362e+00 1.023316188199697940e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.500309297289875055e+00 1.758648523302639988e-01 6.058544162777593917e-02 3.274162705354476399e-01 5.262396693405383630e+00 9.618574340054278915e-01 1.041128575184822491e+00 6.637310819742587853e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.786426352043833266e+00 1.993723517168532969e-07 6.868377516645596263e-08 6.580670148222027560e-01 6.265964054871388633e+00 1.933216847303768748e+00 1.601711962727581540e+00 1.021109245650631880e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
